Animal,Day,Correct,Strategy,Correct arm,Reward zone,Start zone,Trial
SC11,SC11-0924-0119_resampled,0,1,1,2,2,433
SC11,SC11-0924-0119_resampled,1,1,1,1,2,434
SC11,SC11-0924-0119_resampled,0,1,1,2,2,435
SC11,SC11-0924-0119_resampled,0,1,1,2,2,436
SC11,SC11-0924-0119_resampled,1,1,1,1,2,437
SC11,SC11-0924-0119_resampled,1,1,1,1,1,438
SC11,SC11-0924-0119_resampled,1,1,1,1,2,439
SC11,SC11-0924-0119_resampled,1,1,1,1,1,440
SC11,SC11-0924-0119_resampled,1,1,1,1,1,441
SC11,SC11-0924-0119_resampled,1,1,1,1,1,442
SC11,SC11-0924-0119_resampled,1,1,1,1,2,443
SC11,SC11-0924-0119_resampled,1,1,1,1,1,444
SC11,SC11-0924-0119_resampled,0,1,1,2,2,445
SC11,SC11-0924-0119_resampled,1,1,1,1,2,446
SC11,SC11-0924-0119_resampled,1,1,1,1,1,447
SC11,SC11-0924-0119_resampled,1,1,1,1,2,448
SC11,SC11-0924-0119_resampled,1,1,1,1,1,449
SC11,SC11-0924-0119_resampled,1,1,1,1,2,450
SC11,SC11-0924-0119_resampled,0,2,2,1,2,451
SC11,SC11-0924-0119_resampled,1,2,2,2,2,452
SC11,SC11-0924-0119_resampled,1,2,2,2,2,453
SC11,SC11-0924-0119_resampled,0,2,2,1,2,454
SC11,SC11-0924-0119_resampled,1,2,2,2,2,455
SC11,SC11-0924-0119_resampled,1,2,2,2,2,456
SC11,SC11-0924-0119_resampled,0,2,2,1,1,457
SC11,SC11-0924-0119_resampled,0,2,2,1,1,458
SC11,SC11-0924-0119_resampled,0,2,2,1,1,459
